Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
TIAM_Grantham,D3_HP_PriceShock,AUS,Energy System Cost,M$(2010)/yr,35750,116498,248832,379255,491568,514213,531419,547555,573976,596515,611771
TIAM_Grantham,D3_HP_PriceShock,CAN,Energy System Cost,M$(2010)/yr,91716,214636,497881,627053,716008,729316,759144,764049,787279,809186,836001
TIAM_Grantham,D3_HP_PriceShock,CHI,Energy System Cost,M$(2010)/yr,382099,1899486,4965467,5191725,6176428,6518007,6690561,6921499,6789087,6877522,6973622
TIAM_Grantham,D3_HP_PriceShock,CSA,Energy System Cost,M$(2010)/yr,190402,596383,1039380,2232707,3290455,3691727,3962359,4079589,4342146,4561515,4794960
TIAM_Grantham,D3_HP_PriceShock,EEU,Energy System Cost,M$(2010)/yr,73645,349909,1062658,1582358,1559054,1437661,1475477,1477582,1374208,1395126,1426583
TIAM_Grantham,D3_HP_PriceShock,FSU,Energy System Cost,M$(2010)/yr,266688,1222526,3232463,3989095,4196116,4039365,4232137,4227042,3672697,3711143,3792143
TIAM_Grantham,D3_HP_PriceShock,IND,Energy System Cost,M$(2010)/yr,148023,393407,996870,4463902,8034693,11392740,12744396,13103199,14023401,14537105,15228405
TIAM_Grantham,D3_HP_PriceShock,JPN,Energy System Cost,M$(2010)/yr,297468,505560,1052875,1046456,1196560,1297346,1282250,1302158,1305515,1330513,1351638
TIAM_Grantham,D3_HP_PriceShock,MEA,Energy System Cost,M$(2010)/yr,195606,664320,1350894,2485805,3550918,3715036,3854448,4096845,4224276,4359383,4558514
TIAM_Grantham,D3_HP_PriceShock,MEX,Energy System Cost,M$(2010)/yr,58898,164841,308987,415690,567893,673644,715782,746388,781368,813261,842191
TIAM_Grantham,D3_HP_PriceShock,ODA,Energy System Cost,M$(2010)/yr,224447,685956,1730423,3442260,4831671,6443373,7218378,7930563,8375534,8936852,9470069
TIAM_Grantham,D3_HP_PriceShock,SKO,Energy System Cost,M$(2010)/yr,122099,257107,472115,654287,719331,747334,748490,738193,721067,710242,708336
TIAM_Grantham,D3_HP_PriceShock,USA,Energy System Cost,M$(2010)/yr,748952,2035646,4911481,5613887,6516253,6854840,6920653,7039573,7088449,7241747,7334041
TIAM_Grantham,D3_HP_PriceShock,WEU,Energy System Cost,M$(2010)/yr,451261,1371357,2621027,4163925,3500588,3512580,3473465,3509900,3518003,3593716,3721531
TIAM_Grantham,D3_HP_PriceShock,World,Energy System Cost,M$(2010)/yr,3416487,10970955,25619536,38196055,48122874,54977749,58586083,60993454,62666982,65111657,67759523
TIAM_Grantham,D3_NG_PriceShock,AFR,Energy System Cost,M$(2010)/yr,129434,493323,1128184,1910487,2776353,3414683,3978023,4519450,5130086,5698151,6202840
TIAM_Grantham,D3_NG_PriceShock,AUS,Energy System Cost,M$(2010)/yr,35750,116498,248832,380424,490512,511810,529002,546011,571607,602571,621538
TIAM_Grantham,D3_NG_PriceShock,CAN,Energy System Cost,M$(2010)/yr,91716,214636,497881,621608,713390,727607,740337,770869,803775,829890,846302
TIAM_Grantham,D3_NG_PriceShock,CHI,Energy System Cost,M$(2010)/yr,382099,1899486,4965467,5186535,6177707,6542110,6726876,6934466,6822821,6882759,7016529
TIAM_Grantham,D3_NG_PriceShock,CSA,Energy System Cost,M$(2010)/yr,190402,596383,1039380,2232898,3269014,3666754,3967243,4084493,4338955,4570023,4807719
TIAM_Grantham,D3_NG_PriceShock,EEU,Energy System Cost,M$(2010)/yr,73645,349909,1062658,1582060,1539230,1440017,1475959,1480217,1371389,1406433,1436892
