Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Temperature Anomaly,K,0.328859444,0.312479528,0.503750115,0.5200257,0.720644535,0.833040099,0.932145679,1.085043335,1.208772654,1.380168069,1.478512788,1.588626299,1.718396752,1.810119181,1.919295647,1.979955784,2.064333222,2.122299473,2.191275929,2.228966007,2.271613805,2.316544461,2.339982303,2.390735184,2.403802954,2.443001678,2.453891819,2.496538492,2.508366603,2.547490152,2.552126927,2.594625899,2.600871926,2.634611077,2.653433164
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions,MtCO2/Year,25448.83672,24116.93074,26159.98632,28269.65188,30381.91564,34669.05295,37145.52763,39524.57419,40360.99728,42418.2678,42577.26522,40161.24075,36567.95879,33542.48366,31484.83728,29127.21296,26766.52065,24977.45903,22909.13178,21315.9728,19953.4533,18858.23983,18597.3346,18440.75384,18218.22831,18147.68315,17812.76105,17604.47698,17397.3387,17001.63638,16977.95436,16881.56072,16840.04649,17116.48274,16976.09752
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions|Energy,MtCO2/Year,18817.67656,18940.14442,20196.39568,22427.15925,24760.44219,28504.1923,30957.02077,32917.45214,33866.63701,35479.65883,36014.77999,32870.58139,28862.67851,25458.30143,22469.12558,19860.8108,17431.02108,15335.17183,13502.62505,11911.05687,10547.77069,9531.926758,9044.83499,8825.868807,8595.560147,8359.536902,8096.723296,7773.200902,7418.546423,7044.794493,6697.739889,6397.428258,6108.751353,5824.233442,5552.9742
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6220.03387,4792.708368,5507.567349,5269.291848,4895.04559,5206.62028,5022.271999,5091.137941,4828.777421,4886.216978,4367.45899,4766.349568,4965.961241,5301.219095,5644.52512,5684.546898,5524.548446,5341.880884,5095.658966,4780.224086,4570.459869,4454.928484,4443.095941,4427.84746,4332.838893,4216.656835,4105.716682,4001.671982,3931.500502,3916.346386,3903.375234,3980.82738,3970.409397,4075.793918,4088.876727
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Solar,GW,0.745,0.655643005,0.55895898,0.444540821,4.125476157,25.93341645,30.97858244,66.54548519,308.1267471,788.9750076,1516.700097,2381.405893,3436.629475,4552.319747,5503.495657,6278.582662,6794.870883,7088.857517,7256.605106,7389.927256,7553.855284,7642.096913,7646.427028,7773.955041,8012.353502,8303.218236,8576.683903,8814.941251,8986.554383,9024.841396,9048.497352,9155.730348,9287.771759,9439.513707,9550.258583
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Wind,GW,0.745,0.655643148,0.558959779,0.444542089,0.438442633,15.26159159,126.8395172,413.824945,822.1271286,1448.103138,2241.444892,3019.371867,3868.745996,4748.428925,5467.540466,6003.343178,6329.018193,6474.259125,6529.747864,6542.978139,6575.69555,6536.642758,6448.167418,6441.147623,6534.693582,6675.763064,6795.405487,6866.556465,6901.662438,6896.723548,6862.082293,6857.981921,6924.539507,6996.025752,7059.304989
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Biomass,Mt/Year,5.003001751,17.1590925,15.10528164,25.90770684,38.44761109,48.11580478,125.4134335,176.1769615,220.3047567,288.8983474,227.9518546,285.7871355,509.1222446,876.381735,1300.046706,1726.599465,2078.99786,2362.745802,2566.304809,2707.544195,2787.915232,2869.5537,3015.936201,3195.625726,3349.223166,3477.274115,3556.430877,3591.104044,3598.035492,3586.588926,3588.247559,3585.642022,3594.056365,3593.082852,3592.926854
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Production|Biomass,Mt/Year,4.432414785,15.45352224,13.65463299,23.27989229,35.26276257,43.57218635,114.2313617,162.1498517,204.6612279,268.1098852,218.2094291,264.4760552,469.438238,808.9604147,1209.592663,1626.188735,1982.682402,2273.440177,2487.322243,2637.549221,2728.198644,2816.918567,2951.247614,3127.249679,3293.43798,3427.2875,3515.375407,3560.307027,3574.094269,3568.491177,3566.687768,3565.456405,3579.00822,3582.176897,3579.720078
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Coal,c$,2.21195E+12,2.14177E+12,2.19958E+12,2.48371E+12,2.7981E+12,3.36912E+12,3.79036E+12,3.92227E+12,3.95873E+12,4.16629E+12,4.19509E+12,3.55685E+12,2.76925E+12,2.1445E+12,1.6589E+12,1.28131E+12,9.88119E+11,7.6169E+11,5.86534E+11,4.51022E+11,3.46615E+11,2.66617E+11,2.33831E+11,2.33506E+11,2.4336E+11,2.49536E+11,2.52028E+11,2.47993E+11,2.34164E+11,2.14795E+11,1.8903E+11,1.5546E+11,1.20359E+11,92670660293,71551954149
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Gas,c$,2.10394E+12,2.27074E+12,2.61994E+12,3.0533E+12,3.36882E+12,3.78189E+12,4.03125E+12,4.47171E+12,4.79486E+12,5.23667E+12,5.4946E+12,5.66867E+12,5.68646E+12,5.62803E+12,5.48845E+12,5.28793E+12,4.98808E+12,4.66849E+12,4.31947E+12,3.96597E+12,3.63094E+12,3.37911E+12,3.26304E+12,3.21762E+12,3.16029E+12,3.0979E+12,3.00504E+12,2.89193E+12,2.77663E+12,2.65549E+12,2.53799E+12,2.41856E+12,2.30746E+12,2.2038E+12,2.09834E+12
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Oil,c$,7.58094E+12,7.62643E+12,8.20907E+12,8.79448E+12,9.41027E+12,1.02386E+13,1.03444E+13,1.09137E+13,1.10097E+13,1.10219E+13,1.1056E+13,1.06542E+13,9.99123E+12,9.3906E+12,8.77656E+12,8.17575E+12,7.56341E+12,6.96222E+12,6.39181E+12,5.8653E+12,5.37472E+12,5.01612E+12,4.84177E+12,4.77788E+12,4.72206E+12,4.68208E+12,4.61557E+12,4.52924E+12,4.4216E+12,4.32033E+12,4.20713E+12,4.10277E+12,4.00299E+12,3.90314E+12,3.79454E+12
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Hydro,GW,478.7482363,555.9655599,623.7244392,695.9072872,745.9095215,811.5101823,929.7669791,1082.624006,1194.073275,1217.728236,1163.398151,1184.422946,1277.075644,1401.584321,1516.518529,1612.499757,1681.601875,1731.772535,1762.997598,1778.477699,1783.027054,1799.312949,1834.775994,1876.327065,1909.927984,1935.920792,1953.559225,1962.981457,1964.912561,1964.586998,1964.099697,1963.635211,1959.689288,1957.305646,1952.852013
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Nuclear,GW,97.55787685,164.4672583,222.4280166,294.034981,339.1126452,351.4690486,358.1775472,366.2776138,386.9815028,429.0546735,721.0927408,1175.794453,1852.733039,2718.869527,3736.87866,4825.33125,5856.949499,6832.167291,7716.301078,8520.991948,9231.51747,9734.234436,9999.283005,10227.71965,10483.31821,10720.81017,10954.32643,11104.53818,11208.66579,11315.73911,11462.91905,11561.45414,11665.64644,11775.4655,11871.58834
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy,TWh/Year,28004.95006,29221.15907,32130.72593,36470.94267,40782.45904,47147.97823,52226.83022,58187.88111,61938.31145,68058.88151,74372.58825,77426.48416,79272.85779,84710.55063,91012.65786,97433.14616,102466.294,107070.6187,110346.8386,113509.7378,116346.1365,118277.1615,119344.4743,121038.9995,123300.0225,125671.6494,127571.4923,128515.5485,129263.69,129281.8111,129514.6149,129861.511,130465.1687,131053.7114,131614.8299
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Coal,TWh/Year,8227.644298,8035.897198,8309.47411,9479.41228,10903.01209,13521.33776,15839.27776,16969.95483,17339.32745,18755.99648,19266.57368,16356.89045,12311.19099,9441.633482,7177.100365,5415.371618,4066.063105,3035.955968,2255.093794,1665.879146,1223.504318,894.9373189,745.738309,704.7580128,687.9903404,659.6460438,618.6503283,564.6342451,495.7791506,421.737607,339.7585074,255.5656827,179.1105815,124.6894255,86.20808292
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Gas,TWh/Year,5167.012572,5617.862368,6532.660017,7740.659894,8795.536944,10313.81304,11590.85523,13596.08163,15075.33335,17032.76039,18268.25213,18752.9488,17974.19095,17228.21031,16001.32021,14554.40782,12922.95456,11385.04212,9930.994539,8600.672348,7449.069889,6586.841325,6071.61703,5709.091562,5351.07843,5035.953891,4703.98713,4344.586367,4018.892297,3688.328447,3402.962847,3139.751479,2900.738387,2677.484445,2471.7327
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Oil,TWh/Year,12027.50655,12159.03064,13201.82032,14325.86013,15606.28775,17386.20013,17992.42983,19409.11378,19686.77678,19904.50029,20058.62449,19195.26296,17382.46896,15838.45556,14237.20245,12690.79591,11178.74501,9820.990097,8580.684475,7491.345661,6536.756467,5814.641741,5348.606876,5018.516954,4726.050823,4463.850489,4199.479905,3910.549738,3639.302582,3381.868433,3130.699494,2891.746533,2671.438892,2456.797205,2235.202814
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Nuclear,TWh/Year,731.6915236,1233.428668,1668.389541,2205.293718,2542.615593,2635.931267,2686.254791,2746.797015,2794.814151,3099.062106,5207.280292,8489.95504,12717.67001,18662.0597,25645.964,33117.81844,40206.26812,46860.04813,52925.53462,58446.47714,63378.32707,66829.24142,68575.6351,70158.03542,71988.41407,73641.35564,75147.804,76209.98132,76926.74089,77678.79362,78625.76819,79366.0585,80070.6475,80787.09344,81499.76949
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Biomass,TWh/Year,8.703968751,30.49437009,27.18674259,46.99445388,72.34239097,91.12770752,244.3417381,355.7081629,452.8762806,604.2731695,499.0614152,610.9623219,1072.702506,1854.295879,2777.12387,3729.765045,4548.799233,5219.041182,5707.75637,6053.80464,6269.128228,6475.963128,6776.050362,7188.455404,7560.079353,7878.299412,8087.96953,8178.816176,8208.417961,8204.979888,8195.782142,8184.569371,8211.655459,8229.281756,8233.955364
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Hydro,TWh/Year,1841.068664,2138.454162,2398.314719,2676.5594,2868.647726,3121.007491,3575.36312,4162.971901,4503.979785,4594.288861,4390.27208,4469.358657,4734.700495,5195.824461,5620.764728,5978.10228,6238.916938,6419.079085,6537.722474,6595.467685,6612.767957,6668.205889,6803.839239,6956.846913,7082.793604,7175.136298,7242.691792,7274.836647,7281.087916,7279.253014,7280.68011,7273.126696,7262.303072,7254.602351,7237.482178
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Solar,TWh/Year,1.261493791,1.110181587,0.946455377,0.752707577,6.983597243,43.90619082,52.4539112,112.6625889,521.8105984,1335.944092,2568.452392,4031.895253,5819.264279,7705.915844,9318.925874,10631.96196,11507.51098,12006.21074,12285.97363,12511.90951,12793.93335,12938.2025,12948.62977,13162.09268,13567.99246,14059.85958,14522.39307,14923.11933,15214.05883,15280.40887,15321.20063,15500.81013,15729.42964,15982.32851,16169.79616
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Wind,TWh/Year,1.369820043,1.205637184,1.027840278,0.817443968,0.806581615,28.06654369,233.3108415,760.7480905,1511.95752,2660.718616,4116.655444,5557.383288,7113.198772,8730.61927,10062.84707,11041.41959,11640.29029,11915.87069,12005.35148,12040.68208,12090.74189,12017.49791,11860.08611,11836.80932,12003.46186,12282.25295,12493.23721,12618.36463,12680.60653,12687.98973,12598.36067,12632.19271,12723.59147,12875.8221,12972.37888
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity,GW,1835.542654,1993.370326,2221.177676,2542.31384,2834.230806,3261.365554,3737.770549,4445.306016,5478.359036,6854.178864,8715.599884,10621.56405,13093.69778,15757.39256,18254.87852,20472.45522,22159.6571,23404.4146,24351.40585,25154.16217,25928.42646,26393.56194,26550.26661,26903.42174,27490.96761,28155.59099,28767.1262,29199.89998,29477.90935,29583.22142,29686.24878,29856.34306,30126.78827,30431.77945,30673.59619
