Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Temperature Anomaly,K,0.191702621,0.160852652,0.38906377,0.421556542,0.620525536,0.716617244,0.79575294,0.914832763,0.995147701,1.110843209,1.182711898,1.256275533,1.335152866,1.385919246,1.457916098,1.478819601,1.523938865,1.544997478,1.585503301,1.597211083,1.609323522,1.624099148,1.625346328,1.64039845,1.63059176,1.644780374,1.644540311,1.660684961,1.657083451,1.676704283,1.666139672,1.682717759,1.665475351,1.673966627,1.669369526
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions,MtCO2/Year,23565.79022,23387.31433,25601.5296,27805.46532,29726.9018,33787.26109,35945.64411,37977.08345,38619.34899,39969.79917,40202.52724,37361.80601,34029.76242,31056.44091,28623.50812,26491.10794,23964.74576,21796.1694,20280.65721,18358.55797,16904.42718,15966.94145,15269.84286,15118.35266,14850.99326,14303.29825,13909.5357,13370.23686,12991.37189,12564.83187,11958.63797,11751.05556,11472.06773,11198.64837,10930.51735
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions|Energy,MtCO2/Year,18789.56983,18749.28041,19924.12802,22078.14212,24200.29494,27730.98327,29937.38073,31581.70638,32388.5771,33545.79489,33981.28264,30842.66169,27054.19321,23862.66217,20874.0055,18350.19882,16028.86523,13921.4387,12163.23935,10651.19426,9311.162394,8335.770279,7796.996761,7525.795762,7284.821242,6975.264893,6636.840628,6283.952352,5890.202887,5535.0777,5235.442388,4952.474298,4684.31131,4408.208808,4138.098486
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions|Food and Land Use,MtCO2/Year,4314.376212,4038.16592,5051.897132,4881.636905,4602.031453,4905.607682,4722.756443,4771.082052,4495.475285,4489.966956,3982.324122,4234.549709,4409.875949,4664.181326,4902.021521,5020.20369,4795.179036,4617.150949,4421.840893,4100.580454,3828.975491,3732.651395,3673.329303,3583.89347,3516.361568,3331.726659,3136.344982,3002.214455,2882.509515,2817.853221,2731.841075,2692.702854,2611.925475,2560.22148,2503.98328
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Solar,GW,0.745,0.655586493,0.558847813,0.444397952,3.192648572,15.90140652,14.21442508,15.18756755,97.69362062,405.426782,960.1705067,1678.241069,2588.945382,3525.292039,4313.917527,4902.411049,5224.347615,5283.739334,5265.482975,5230.538944,5228.7367,5182.110209,5112.065318,5144.999205,5298.522571,5455.283522,5517.907705,5606.154266,5655.845275,5634.931057,5623.920134,5695.132303,5735.157113,5730.053083,5727.667588
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Wind,GW,0.745,0.655586493,0.558847813,0.444397889,0.395247578,13.17161678,112.2376796,369.9055579,731.0807989,1261.946111,1914.082696,2538.635129,3214.962758,3897.640829,4398.607102,4718.983699,4851.280566,4817.222263,4670.370121,4547.308965,4429.34109,4340.769386,4180.863313,4128.502816,4148.952817,4162.69301,4210.412436,4224.658771,4187.030253,4102.622026,4012.507039,4025.037162,4043.091155,4018.768553,3939.951578
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Biomass,Mt/Year,3.613491395,13.05891629,11.17158341,20.69043105,32.58351539,41.86643802,114.3784787,160.162259,195.2724331,253.0525824,197.6490435,245.5433937,429.5896295,734.7573796,1093.021709,1456.761065,1749.002715,1980.538212,2141.326408,2253.046083,2311.699406,2391.919005,2502.913969,2633.005274,2754.974353,2833.97467,2877.051474,2868.638263,2846.579251,2837.988148,2795.950675,2784.887994,2766.275606,2762.574259,2725.667955
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Production|Biomass,Mt/Year,3.19707816,11.71309003,10.00204845,18.62430316,29.85298798,37.88791445,103.7872161,146.921397,181.3735649,234.9531742,188.2386858,227.7561192,399.703985,683.3688295,1018.485997,1376.695693,1673.273901,1903.52413,2074.379787,2195.960217,2265.27371,2333.56137,2452.62427,2588.316994,2708.174774,2803.849802,2849.976435,2857.494587,2832.814322,2821.68327,2794.408538,2788.76069,2775.06943,2755.910647,2738.257589
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Coal,c$,2.21064E+12,2.11602E+12,2.16E+12,2.43814E+12,2.73429E+12,3.2778E+12,3.67163E+12,3.7678E+12,3.77748E+12,3.93818E+12,3.92692E+12,3.31262E+12,2.57751E+12,1.99535E+12,1.54296E+12,1.19018E+12,9.17817E+11,7.06681E+11,5.43598E+11,4.17631E+11,3.20394E+11,2.45069E+11,1.96227E+11,1.59022E+11,1.24253E+11,95111357357,72715914023,55734816035,42729348514,32765614882,25134714506,19213319538,14679447959,11296550282,8701273623
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Gas,c$,2.10126E+12,2.22911E+12,2.55449E+12,2.98265E+12,3.28848E+12,3.67492E+12,3.89975E+12,4.28954E+12,4.5902E+12,4.92598E+12,5.14625E+12,5.23439E+12,5.15965E+12,5.00751E+12,4.73882E+12,4.4501E+12,4.10105E+12,3.7282E+12,3.37941E+12,3.05002E+12,2.73117E+12,2.50417E+12,2.44449E+12,2.42228E+12,2.39606E+12,2.3562E+12,2.29441E+12,2.21371E+12,2.12592E+12,2.05318E+12,1.98751E+12,1.897E+12,1.82877E+12,1.75896E+12,1.66657E+12
